config,run,stream,window_index,window_start_s,mean_IAT,IAT_variance,mean_frame_size,burst_length,count,phase_offset_mean_us,phase_offset_std_us,gate_util,queue_depth_max,drops,sync_event_interval_mean_us,sync_event_interval_var,gm_rate_ratio_mean,gm_rate_ratio_std,pdelay_mean_us,label
BenignDiverse_gPTP_Working,0,zonalHost,12,0.12,0.0004994133405427362,1.1094325808163187e-11,20.0,1,20,61.67363279099455,49.04424283619247,0.24999999999998612,58.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,zonalHost,13,0.13,0.0004998656198266315,9.993562755079996e-12,20.0,1,20,65.70232693978664,50.20739218315936,0.24999999999997224,62.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,zonalHost,14,0.14,0.0004993948534253153,7.952211732488266e-12,20.0,1,20,61.07721550726638,49.55433345077878,0.250000000000025,65.0,0,,,0.6533333333333333,0.0,,0
BenignDiverse_gPTP_Working,0,attackNode,0,0.0,,,,0,0,53.20050770019427,51.1934764274243,0.2500000000000001,15.0,0,,,,,0.5000000000000001,0
BenignDiverse_gPTP_Working,0,attackNode,1,0.01,,,,0,0,58.1909469982879,49.103166710335536,0.24999999999999986,18.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,attackNode,2,0.02,,,,0,0,57.16688070497772,49.1835530888027,0.2500000000000003,22.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,attackNode,3,0.03,,,,0,0,60.19436701113402,50.30719220300458,0.25000000000000017,25.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,attackNode,4,0.04,,,,0,0,56.52149032557934,48.978040331253546,0.25000000000000017,30.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,attackNode,5,0.05,,,,0,0,59.61407469460239,49.45478549021628,0.25000000000000017,33.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,attackNode,6,0.06,,,,0,0,60.033307399677156,49.15225830234671,0.25000000000000033,37.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,attackNode,7,0.07,,,,0,0,57.40086387575588,48.84182150768766,0.25000000000000033,41.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,attackNode,8,0.08,,,,0,0,61.37878376022102,49.34383966660546,0.25000000000000033,44.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,attackNode,9,0.09,,,,0,0,56.312512821267454,48.99377310797517,0.25000000000000033,48.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,attackNode,10,0.1,,,,0,0,59.69976259349266,49.90741891222391,0.24999999999999895,51.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,attackNode,11,0.11,,,,0,0,57.536564699947995,50.19220088141223,0.25000000000000033,54.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,attackNode,12,0.12,,,,0,0,56.00892225940004,49.62683993033982,0.24999999999998612,58.0,0,,,,,,0
