config,run,stream,window_index,window_start_s,mean_IAT,IAT_variance,mean_frame_size,burst_length,count,phase_offset_mean_us,phase_offset_std_us,gate_util,queue_depth_max,drops,label
BenignDiverse,2,av1,0,0.0,8.981176402727273e-05,1.0858867003649022e-12,500.0,1,111,3.397084375,9.440030866671934,0.2500000000000001,2.0,0,0
BenignDiverse,2,av1,1,0.01,8.99123517181818e-05,1.4662855371077918e-12,500.0,1,111,,,0.24999999999999986,0,0,0
BenignDiverse,2,av1,2,0.02,8.995306355454547e-05,1.4931977466841739e-12,500.0,1,111,,,0.2500000000000003,0,0,0
BenignDiverse,2,av1,3,0.03,9.006406695454546e-05,1.2213631797683188e-12,500.0,1,111,,,0.25000000000000017,0,0,0
BenignDiverse,2,av1,4,0.04,8.997291496363639e-05,1.1142470205011964e-12,500.0,1,111,,,0.25000000000000017,0,0,0
BenignDiverse,2,av1,5,0.05,9.006292720000003e-05,1.379880853805802e-12,500.0,1,111,,,0.25000000000000017,0,0,0
BenignDiverse,2,av1,6,0.06,8.988877780180181e-05,1.2655999420176709e-12,500.0,1,112,,,0.25000000000000033,0,0,0
BenignDiverse,2,av1,7,0.07,8.994720199090917e-05,1.1336582101794686e-12,500.0,1,111,,,0.25000000000000033,0,0,0
BenignDiverse,2,av1,8,0.08,8.999989312727272e-05,1.3951022088521911e-12,500.0,1,111,,,0.25000000000000033,0,0,0
BenignDiverse,2,av1,9,0.09,9.0169629109091e-05,1.4914720451393765e-12,500.0,1,111,,,0.25000000000000033,0,0,0
BenignDiverse,2,av1,10,0.1,8.983281417272738e-05,1.2817506836312719e-12,500.0,1,111,,,0.24999999999999895,0,0,0
BenignDiverse,2,av1,11,0.11,8.99724685818182e-05,1.292510940237933e-12,500.0,1,111,,,0.25000000000000033,0,0,0
BenignDiverse,2,av1,12,0.12,8.99047756216215e-05,1.1401723900167113e-12,500.0,1,112,,,0.24999999999998612,0,0,0
BenignDiverse,2,av1,13,0.13,8.998489504545444e-05,1.3373479877430762e-12,500.0,1,111,,,0.24999999999997224,0,0,0
BenignDiverse,2,av1,14,0.14,8.99065460818181e-05,1.3532484604733702e-12,500.0,1,111,,,0.250000000000025,0,0,0
BenignDiverse,2,av2,0,0.0,9.021056664220183e-05,1.2177482857148737e-12,500.0,1,110,3.5155016874999996,10.747556156489745,0.2500000000000001,3.0,0,0
BenignDiverse,2,av2,1,0.01,8.997007504545456e-05,1.410084600133539e-12,500.0,1,111,,,0.24999999999999986,0,0,0
BenignDiverse,2,av2,2,0.02,8.992633879090911e-05,1.2756524478320044e-12,500.0,1,111,,,0.2500000000000003,0,0,0
BenignDiverse,2,av2,3,0.03,8.995659011818181e-05,1.455303675627442e-12,500.0,1,111,,,0.25000000000000017,0,0,0
BenignDiverse,2,av2,4,0.04,8.987990407207213e-05,1.2662829177710245e-12,500.0,1,112,,,0.25000000000000017,0,0,0
BenignDiverse,2,av2,5,0.05,9.00449047909091e-05,1.3704240158347334e-12,500.0,1,111,,,0.25000000000000017,0,0,0
BenignDiverse,2,av2,6,0.06,8.979805836363636e-05,1.0588003541566948e-12,500.0,1,111,,,0.25000000000000033,0,0,0
BenignDiverse,2,av2,7,0.07,9.005031300909097e-05,1.2670660378041334e-12,500.0,1,111,,,0.25000000000000033,0,0,0
BenignDiverse,2,av2,8,0.08,9.014866232727269e-05,1.4601718498965662e-12,500.0,1,111,,,0.25000000000000033,0,0,0
BenignDiverse,2,av2,9,0.09,9.018894809090907e-05,1.564014066992517e-12,500.0,1,111,,,0.25000000000000033,0,0,0
