window_id,t_start_s,t_end_s,label,config,mean_IAT_us,IAT_variance_us2,mean_frame_size_B,burst_length,frame_count,phase_offset_mean_us,phase_offset_std_us,gate_drop_rate,meter_red_rate,queue_depth_max,sync_interval_mean,sync_interval_var,correction_field_delta,announce_rate,source_count
8,0.08,0.09,3,GateBoundaryProximityAttack,-145.31847801741895,-64.29948489847882,-86.44444444444446,5.0,109.09857927580909,-46.71449667904468,68.86648291505308,0.0,0.0,395.0,0.0,0.0,0.0,0.0,0.0
9,0.09,0.1,3,GateBoundaryProximityAttack,-144.46599555306977,-63.25706634387274,-86.44444444444446,5.0,109.09857927580909,-48.28336182444587,66.52157411190112,0.0,0.0,438.0,0.0,0.0,0.0,0.0,0.0
10,0.1,0.11,3,GateBoundaryProximityAttack,-145.31847801741927,-63.06750351208176,-88.86666666666667,5.0,109.09857927580909,-47.23745172751271,66.32294250712793,0.0,0.0,481.0,0.0,0.0,0.0,0.0,0.0
11,0.11,0.12,3,GateBoundaryProximityAttack,-145.31847801741895,-62.616987400480916,-86.44444444444446,5.0,109.09857927580909,-49.85222696984154,65.48550936071702,0.0,0.0,525.0,0.0,0.0,0.0,0.0,0.0
12,0.12,0.13,3,GateBoundaryProximityAttack,-145.3184780174193,-63.738652399147945,-86.44444444444446,5.0,109.09857927580909,-44.62267648518865,68.56468980412713,0.0,0.0,568.0,0.0,0.0,0.0,0.0,0.0
13,0.13,0.14,3,GateBoundaryProximityAttack,-144.4659955530694,-63.81789884320473,-86.44444444444446,5.0,109.09857927580909,-47.76040677599226,67.5285355141106,0.0,0.0,611.0,0.0,0.0,0.0,0.0,0.0
14,0.14,0.15,3,GateBoundaryProximityAttack,-145.31847801741893,-63.067503512082595,-88.86666666666667,5.0,109.09857927580909,-50.89813706676104,65.35935368821283,0.0,0.0,654.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.01,0,General,3.237050997524841,2.0841272090254237,0.0,0.0,-3.162277660168379,1.2789755282016104,-0.9058015390088076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.01,0.02,0,General,0.5573667718278393,-0.8603190853465995,0.0,0.0,0.0,1.584350467628714,0.8449947860824556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.02,0.03,0,General,0.15965419593528052,-0.2666146293705808,0.0,0.0,0.0,0.5675834768567026,0.16138448216008394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.03,0.04,0,General,-0.23805837995746482,0.25439364976215556,0.0,0.0,0.0,-0.16180460834636712,-0.44851464935094965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.04,0.05,0,General,-0.635770955850148,0.8717294401695844,0.0,0.0,0.0,-0.891192693547596,-1.0137291440823661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.05,0.06,0,General,-0.9744644186789334,-1.6324914957262397,0.0,0.0,1.5811388300841895,-1.2122884316749694,1.9320717519127386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
